t,delta,force,overlap,vel
3.342e-08,6.33138534460075e-07,-3.77454263078003e-08,1.86146553992496e-09,-2.04272608277815
3.344e-08,6.33097673078213e-07,-3.71436602983563e-08,1.902326921787e-09,-2.04340663489272
3.346e-08,6.33056798194679e-07,-3.65374747852943e-08,1.94320180532096e-09,-2.04407620978752
3.348e-08,6.33015910029822e-07,-3.59292353223382e-08,1.98408997017791e-09,-2.04473474863523
3.35e-08,6.32975008804734e-07,-3.53180914507525e-08,2.02499119526594e-09,-2.04538220637694
3.352e-08,6.32934094741567e-07,-3.4703102499275e-08,2.06590525843297e-09,-2.04601852167691
3.354e-08,6.32893168063867e-07,-3.40860862640925e-08,2.10683193613293e-09,-2.0466436411702
3.356e-08,6.3285222899592e-07,-3.346571169314e-08,2.14777100407996e-09,-2.04725751591519
3.358e-08,6.3281127776323e-07,-3.28420397895054e-08,2.18872223676997e-09,-2.04786008542871
3.36e-08,6.32770314592503e-07,-3.22163678480738e-08,2.22968540749692e-09,-2.04845130157108
3.362e-08,6.32729339711168e-07,-3.15869080127047e-08,2.27066028883193e-09,-2.04903111174465
3.364e-08,6.32688353348033e-07,-3.09546737390777e-08,2.31164665196694e-09,-2.04959945631445
3.366e-08,6.32647355732915e-07,-3.03204672446488e-08,2.35264426708497e-09,-2.05015629214537
3.368e-08,6.32606347096347e-07,-2.96820660057703e-08,2.39365290365299e-09,-2.05070156319532
3.37e-08,6.32565327670387e-07,-2.90413900999801e-08,2.43467232961298e-09,-2.05123521067373
3.372e-08,6.3252429768792e-07,-2.83986524893195e-08,2.47570231208e-09,-2.05175719517397
3.374e-08,6.3248325738258e-07,-2.77515701987666e-08,2.51674261741993e-09,-2.05226745847822
3.376e-08,6.32442206989581e-07,-2.71025736116123e-08,2.55779301041891e-09,-2.05276594370824
3.378e-08,6.32401146744832e-07,-2.64511150524102e-08,2.59885325516799e-09,-2.05325261109484
3.38e-08,6.32360076885137e-07,-2.57958043352754e-08,2.63992311486292e-09,-2.05372740325857
3.382e-08,6.32318997648702e-07,-2.51386082853235e-08,2.68100235129792e-09,-2.05419026806016
3.384e-08,6.32277909274415e-07,-2.44785695294829e-08,2.72209072558491e-09,-2.05464116253373
