t,delta,force,overlap,vel
6.174e-08,3.52511766777196e-06,0,-2.89011766777196e-06,62.3343351094227
6.176e-08,3.52636435447415e-06,0,-2.89136435447415e-06,62.3343351094227
6.178e-08,3.52761104117634e-06,0,-2.89261104117634e-06,62.3343351094227
6.18e-08,3.52885772787853e-06,0,-2.89385772787853e-06,62.3343351094227
6.182e-08,3.53010441458072e-06,0,-2.89510441458072e-06,62.3343351094227
6.184e-08,3.53135110128291e-06,0,-2.89635110128291e-06,62.3343351094227
6.186e-08,3.53259778798509e-06,0,-2.89759778798509e-06,62.3343351094227
6.188e-08,3.53384447468728e-06,0,-2.89884447468728e-06,62.3343351094227
6.19e-08,3.53509116138947e-06,0,-2.90009116138947e-06,62.3343351094227
6.192e-08,3.53633784809166e-06,0,-2.90133784809166e-06,62.3343351094227
6.194e-08,3.53758453479385e-06,0,-2.90258453479385e-06,62.3343351094227
6.196e-08,3.53883122149604e-06,0,-2.90383122149604e-06,62.3343351094227
6.198e-08,3.54007790819822e-06,0,-2.90507790819822e-06,62.3343351094227
6.2e-08,3.54132459490041e-06,0,-2.90632459490041e-06,62.3343351094227
6.202e-08,3.5425712816026e-06,0,-2.9075712816026e-06,62.3343351094227
6.204e-08,3.54381796830479e-06,0,-2.90881796830479e-06,62.3343351094227
6.206e-08,3.54506465500698e-06,0,-2.91006465500698e-06,62.3343351094227
6.208e-08,3.54631134170917e-06,0,-2.91131134170917e-06,62.3343351094227
6.21e-08,3.54755802841136e-06,0,-2.91255802841136e-06,62.3343351094227
6.212e-08,3.54880471511354e-06,0,-2.91380471511354e-06,62.3343351094227
6.214e-08,3.55005140181573e-06,0,-2.91505140181573e-06,62.3343351094227
6.216e-08,3.55129808851792e-06,0,-2.91629808851792e-06,62.3343351094227
6.218e-08,3.55254477522011e-06,0,-2.91754477522011e-06,62.3343351094227
6.22e-08,3.5537914619223e-06,0,-2.9187914619223e-06,62.3343351094227
6.222e-08,3.55503814862449e-06,0,-2.92003814862449e-06,62.3343351094227
6.224e-08,3.55628483532667e-06,0,-2.92128483532667e-06,62.3343351094227
6.226e-08,3.55753152202886e-06,0,-2.92253152202886e-06,62.3343351094227
6.228e-08,3.55877820873105e-06,0,-2.92377820873105e-06,62.3343351094227
6.23e-08,3.56002489543324e-06,0,-2.92502489543324e-06,62.3343351094227
6.232e-08,3.56127158213543e-06,0,-2.92627158213543e-06,62.3343351094227
6.234e-08,3.56251826883762e-06,0,-2.92751826883762e-06,62.3343351094227
6.236e-08,3.56376495553981e-06,0,-2.92876495553981e-06,62.3343351094227
6.238e-08,3.56501164224199e-06,0,-2.93001164224199e-06,62.3343351094227
6.24e-08,3.56625832894418e-06,0,-2.93125832894418e-06,62.3343351094227
6.242e-08,3.56750501564637e-06,0,-2.93250501564637e-06,62.3343351094227
6.244e-08,3.56875170234856e-06,0,-2.93375170234856e-06,62.3343351094227
6.246e-08,3.56999838905075e-06,0,-2.93499838905075e-06,62.3343351094227
6.248e-08,3.57124507575294e-06,0,-2.93624507575294e-06,62.3343351094227
6.25e-08,3.57249176245512e-06,0,-2.93749176245512e-06,62.3343351094227
6.252e-08,3.57373844915731e-06,0,-2.93873844915731e-06,62.3343351094227
6.254e-08,3.5749851358595e-06,0,-2.9399851358595e-06,62.3343351094227
6.256e-08,3.57623182256169e-06,0,-2.94123182256169e-06,62.3343351094227
6.258e-08,3.57747850926388e-06,0,-2.94247850926388e-06,62.3343351094227
6.26e-08,3.57872519596607e-06,0,-2.94372519596607e-06,62.3343351094227
6.262e-08,3.57997188266826e-06,0,-2.94497188266826e-06,62.3343351094227
6.264e-08,3.58121856937044e-06,0,-2.94621856937044e-06,62.3343351094227
6.266e-08,3.58246525607263e-06,0,-2.94746525607263e-06,62.3343351094227
6.268e-08,3.58371194277482e-06,0,-2.94871194277482e-06,62.3343351094227
6.27e-08,3.58495862947701e-06,0,-2.94995862947701e-06,62.3343351094227
6.272e-08,3.5862053161792e-06,0,-2.9512053161792e-06,62.3343351094227
6.274e-08,3.58745200288139e-06,0,-2.95245200288139e-06,62.3343351094227
6.276e-08,3.58869868958357e-06,0,-2.95369868958357e-06,62.3343351094227
6.278e-08,3.58994537628576e-06,0,-2.95494537628576e-06,62.3343351094227
6.28e-08,3.59119206298795e-06,0,-2.95619206298795e-06,62.3343351094227
6.282e-08,3.59243874969014e-06,0,-2.95743874969014e-06,62.3343351094227
6.284e-08,3.59368543639233e-06,0,-2.95868543639233e-06,62.3343351094227
