TIMESTEP CONTACTS
120102	26781
0 0 0 
1.05687e-08 -6.86636e-08 -3.20521e-08 
-8.27838e-09 4.1381e-08 1.44715e-07 
0 0 0 
0 0 0 
1.43377e-07 -6.2572e-08 1.26376e-08 
-6.98986e-09 -9.18985e-10 6.49501e-08 
0 0 0 
0 0 0 
4.6445e-08 1.8744e-08 -4.1865e-09 
0 0 0 
-1.03146e-08 -1.00234e-08 6.49727e-09 
0 0 0 
3.52308e-08 -9.6584e-09 -1.01624e-09 
0 0 0 
-3.29125e-09 -3.94294e-09 5.99753e-10 
0 0 0 
2.70629e-08 -6.89531e-08 1.59924e-09 
0 0 0 
4.14718e-09 -6.36234e-08 -3.25864e-08 
0 0 0 
-3.40493e-08 1.29256e-08 -4.36106e-09 
0 0 0 
4.21538e-08 6.34884e-09 3.44023e-08 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
5.11281e-08 1.15158e-07 -1.36595e-07 
0 0 0 
9.30338e-08 5.62188e-08 -1.32925e-07 
-4.36616e-08 2.49203e-08 1.5133e-07 
0 0 0 
0 0 0 
-6.74884e-10 7.85958e-09 3.88147e-09 
5.95131e-10 3.83158e-09 -2.48612e-09 
-1.42589e-08 5.47026e-08 -5.38306e-08 
0 0 0 
-3.74799e-08 -1.5039e-07 3.41729e-08 
0 0 0 
-3.6597e-08 1.40509e-07 5.64762e-08 
0 0 0 
0 0 0 
1.20845e-08 3.36397e-08 1.36974e-08 
0 0 0 
-8.58695e-10 -1.03156e-11 5.77093e-10 
2.62511e-08 -2.75088e-08 -4.78126e-08 
0 0 0 
0 0 0 
0 0 0 
-4.38819e-09 -7.18808e-08 -2.85854e-08 
0 0 0 
1.00298e-09 -3.31695e-08 -3.86545e-08 
0 0 0 
0 0 0 
0 0 0 
1.77135e-08 3.21656e-08 1.29923e-07 
0 0 0 
0 0 0 
3.31544e-08 -3.5773e-08 9.03524e-08 
1.38502e-08 -1.04269e-08 -2.70225e-08 
-1.37927e-08 -3.34588e-08 1.09996e-08 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
4.87259e-08 -9.54211e-09 -4.05913e-08 
0 0 0 
-3.95247e-09 -3.95634e-08 -4.12796e-08 
5.43953e-08 2.49888e-08 -6.77024e-09 
1.66666e-08 -1.23522e-08 3.83031e-08 
-1.57946e-08 7.27241e-08 -3.1636e-08 
0 0 0 
0 0 0 
0 0 0 
9.35393e-09 2.28002e-08 5.10396e-08 
3.69858e-09 1.66042e-09 -6.12451e-10 
0 0 0 
0 0 0 
1.11089e-09 -2.73602e-11 1.97904e-10 
0 0 0 
0 0 0 
